squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,price
77913,6,0,0,82,89070,9,3,2010,7794411
11169,97,1,1,97,16604,4,9,1990,1135694
15723,100,0,1,5,58404,6,4,2017,1576275.7
40806,34,1,1,71,30320,9,7,2014,4089457.4
39348,26,1,1,65,89279,1,4,1990,3945410
17762,59,1,0,40,5346,4,10,1999,1782317.9
16006,64,1,0,81,51164,8,7,2014,1606879.4
49026,22,0,0,12,6161,3,8,2011,4904339.1
43905,58,0,1,49,77800,3,9,2014,4396172.4
45323,16,1,1,60,64002,9,7,1999,4537806.9
37656,7,0,0,87,83215,6,8,2000,3773756
96151,75,1,1,100,77044,4,3,1993,9629194.3
61788,26,0,0,39,65261,5,7,2000,6183155
4933,77,0,0,3,68463,7,5,1995,494065.5
36905,38,0,0,96,69830,2,7,2004,3694640.4
5589,17,1,1,64,29337,4,3,2010,571738
83526,38,1,1,84,98333,4,10,2002,8368737.2
62166,68,1,1,42,23510,8,6,2009,6222231.9
82953,36,0,0,94,10967,5,1,1992,8301213.2
97895,1,0,1,45,50340,8,4,2013,9796308.3
69265,11,0,1,83,37564,1,9,1998,6931554.8
85476,36,1,0,44,83386,9,7,1992,8553019.2
50251,14,1,1,53,46201,9,5,1999,5037541.9
11484,92,1,0,4,32303,10,2,2006,1153872.6
17315,4,1,0,80,51611,1,2,2001,1740209.1
36511,57,1,0,12,58072,1,6,1994,3653650.4
88307,62,1,1,11,17575,3,5,2005,8837519.5
27900,1,1,0,96,47836,9,3,2005,2796434.5
78199,93,0,1,15,19890,9,10,2003,7825365.3
21912,73,0,0,42,87120,3,8,2020,2195690
9374,93,0,1,64,2532,9,1,1998,948170.8
89490,98,0,0,47,1906,2,4,2003,8951286.3
43204,26,0,0,60,66353,10,7,2015,4322921.5
16357,96,1,1,15,67409,3,10,1997,1640789.7
88997,90,1,0,84,63734,7,2,2003,8909466.3
36705,38,0,1,23,94515,5,2,2010,3676738
63751,77,1,1,37,46897,5,4,1991,6383612.1
98419,62,0,0,18,55349,5,7,2017,9844171.7
21167,27,1,0,66,49280,10,4,2013,2121941.3
11629,92,1,1,64,29180,4,6,2010,1173671
60278,96,0,1,38,27336,10,10,2020,6032040
84619,27,1,0,35,11177,7,9,2006,8468432.6
33779,69,1,1,46,93149,2,6,2009,3387381.9
85134,65,0,1,94,33732,8,10,2018,8522625.8
70137,41,0,0,85,87234,6,2,1998,7018139.8
94839,98,1,0,94,99526,4,3,2001,9488360.1
13735,92,0,1,1,81466,4,8,2001,1378845.1
42940,15,1,0,95,82359,1,9,2012,4302940.2
55144,48,1,1,87,50758,3,7,2011,5525409.1
63505,37,1,0,5,794,10,9,1999,6354413.9
31869,19,1,0,51,54028,2,6,2012,3191873.2
79857,62,0,0,46,16261,3,10,2018,7988061.8
21796,25,0,1,8,21907,4,3,2009,2184961.9
5724,31,1,1,24,54529,6,5,2007,580503.7
79837,56,0,1,61,9646,10,3,2019,7991469.9
68856,98,1,1,57,91700,10,6,2019,6893304.9
6473,56,0,1,35,81925,2,9,1992,651720.2
20159,23,1,1,54,38198,7,4,2001,2024367.1
76995,87,0,1,50,36733,5,2,2007,7706348.7
51461,45,1,1,28,7520,1,4,2017,5152982.7
57104,9,1,1,49,98123,3,2,2017,5717757.7
64834,64,1,0,17,15351,7,7,2013,6490258.3
60162,93,1,0,9,69653,5,9,2014,6020751.4
88942,46,1,0,68,10789,3,3,1993,8900440.3
35551,82,1,1,4,93906,6,5,1999,3562999.9
63076,8,1,1,54,43957,2,6,2019,6318959.9
69073,4,0,1,7,79740,8,1,2011,6911097.1
62979,58,1,0,85,85267,7,7,1996,6301868.6
97328,43,0,1,83,21032,6,4,1990,9739502
83520,50,0,0,78,49694,1,8,2000,8354366
77791,94,1,0,67,54273,5,5,2009,7786745.9
45215,81,1,0,40,21573,8,8,2007,4528000.7
12012,78,0,0,83,87662,8,9,2018,1210218.8
55113,22,1,1,12,52712,10,8,2016,5519790.6
39298,78,0,1,40,8190,7,3,2008,3934536.8
83705,94,0,0,27,39119,2,10,2008,8372582.8
84039,59,1,0,82,68337,4,8,1995,8415253.5
61089,8,1,0,14,37124,5,7,1991,6112177.1
73080,96,1,0,28,17491,3,2,1990,7311244
31501,57,0,1,67,15589,2,7,2013,3157956.3
39170,54,1,1,41,54522,7,10,2005,3926220.5
41000,5,0,1,8,99402,2,7,1991,4101893.1
27803,8,0,1,75,93214,10,7,2008,2784033.8
13910,75,1,1,80,16214,1,3,2015,1404398.5
91275,17,0,1,21,86999,7,6,1999,9133455.9
60018,28,1,0,64,42617,4,5,1992,6008211.2
3237,82,1,0,99,56257,4,9,2008,333538.8
65946,98,0,1,63,35928,1,8,2015,6597608.5
84696,69,0,1,25,76100,7,4,1991,8472972.1
8392,81,1,0,97,90768,1,1,1998,848992.8
29063,54,1,1,100,37116,3,9,2020,2916890
84148,97,1,0,100,48583,2,10,2005,8418964.5
67210,22,0,1,68,63246,3,9,2018,6731422.8
61129,44,1,1,33,91577,10,3,2008,6121496.8
63416,94,0,0,72,10070,1,8,2016,6347507.6
12636,70,0,1,28,96190,2,2,2019,1269858.9
70806,79,0,1,62,84562,6,10,2011,7089274.1
29589,44,1,1,53,47268,6,5,1999,2968021.9
14621,40,0,0,41,31633,4,4,1996,1465123.6
28281,49,0,0,33,78659,8,1,1998,2829887.8
1832,94,0,1,76,74108,4,8,1992,190497.2
77216,46,0,0,57,18773,4,5,2007,7723483.7
80909,44,0,0,37,28216,2,9,2019,8094783.9
64411,88,0,0,28,7876,3,5,2016,6443803.6
42490,73,0,1,20,25477,10,3,2012,4252006.2
32724,84,0,0,27,85317,8,4,2021,3273920.1
4502,94,0,1,90,92912,8,6,2002,462779.2
95464,28,1,0,88,91646,3,7,2010,9552982
27541,55,1,0,75,93110,6,2,1996,2765257.6
42648,55,1,0,61,65569,5,3,2010,4271244
80002,42,1,0,76,67080,8,2,2015,8007425.5
99145,95,1,1,48,28897,2,8,2011,9923111.1
70574,11,0,0,72,58731,5,2,2016,7064747.6
8096,90,1,0,27,30060,4,6,1992,815549.2
12757,15,0,1,89,87595,4,7,1992,1287195.2
29480,66,1,1,77,60901,6,1,2018,2958907.8
85503,42,0,1,20,44949,2,8,1997,8553712.7
77851,35,0,0,98,68279,5,9,1999,7788297.9
35352,89,1,1,18,10826,8,2,2020,3540142
96720,14,1,1,27,35971,8,9,1994,9680680.4
6629,41,0,1,32,903,2,1,2004,666360.4
2210,29,1,1,51,16373,8,7,2019,230691.9
32476,14,1,0,32,85745,5,6,2006,3251348.6
70837,57,1,1,35,67452,9,1,2013,7089763.3
54042,17,1,1,76,59660,7,6,2008,5419304.8
98939,21,0,1,13,60876,6,9,2000,9899616
62871,76,1,0,30,94649,1,1,2007,6290336.7
67959,65,0,1,3,21015,3,5,2005,6798522.5
70614,38,0,1,9,23939,2,10,1994,7064089.4
12877,83,0,0,64,73010,7,1,2021,1291196.1
90947,75,1,0,8,48980,8,3,2020,9098966
58619,86,1,0,61,70423,3,2,2014,5867256.4
55617,24,1,1,55,69618,1,10,2019,5572546.9
59318,7,1,0,23,57847,6,1,2001,5938361.1
31505,13,0,1,6,50880,9,5,1991,3153329.1
4280,98,1,1,41,58746,2,4,2018,437389.8
25394,71,0,1,83,81035,2,7,2019,2543531.9
8353,53,0,1,88,26753,3,8,2021,847023.1
55871,52,0,0,91,23098,1,8,2000,5588933
81440,29,1,0,50,53000,8,10,2011,8150830.1
32037,74,1,0,15,12406,1,6,2013,3206943.3
80426,15,1,1,99,24,8,5,2003,8053552.3
90339,74,0,0,3,64736,10,8,2007,9034852.7
86848,93,1,0,56,76229,5,5,1992,8691290.2
97435,90,1,0,67,62817,2,3,1990,9752191
28760,63,1,0,3,88425,7,5,2013,2878626.3
18209,51,1,0,60,55396,2,1,2017,1829917.7
628,70,1,0,75,65323,8,6,2020,68498
85637,43,0,0,19,11785,9,9,2008,8565946.8
70630,24,1,1,99,69241,10,7,2012,7073702.2
32282,48,0,0,97,72866,4,6,2003,3234723.3
96877,77,1,0,94,77155,2,1,1992,9692657.2
71673,98,0,1,28,15094,9,5,2012,7172397.2
48130,20,1,0,9,94092,6,9,1995,4815765.5
86247,92,0,0,70,88098,3,10,2021,8630082.1
56361,40,1,0,22,81491,4,1,1995,5639699.5
50336,11,1,1,97,10616,3,10,1996,5041774.6
69440,73,1,0,80,18003,6,7,2005,6951545.5
58882,25,1,0,60,32960,2,10,2008,5894427.8
33131,42,1,1,95,415,4,8,2000,3320746
12463,2,0,0,51,19811,2,6,1990,1247764
3166,87,1,1,73,21566,1,2,2009,327022.9
19084,54,1,1,96,57116,1,3,2002,1917423.2
22348,78,0,0,34,17454,10,9,2013,2238999.3
65050,3,0,1,54,59668,6,4,2003,6508789.3
29721,94,0,1,76,87271,5,3,2001,2981160.1
50793,51,0,1,21,57949,4,9,2015,5082950.5
68186,84,1,1,99,51178,10,4,1993,6835138.3
11253,32,0,1,2,42949,8,3,2017,1129352.7
41987,94,0,1,26,13554,6,1,2015,4203907.5
12425,17,0,0,85,9509,3,5,2013,1248831.3
55434,55,1,0,97,98846,7,9,2015,5547739.5
52353,13,1,0,81,70024,8,6,2021,5246946.1
93918,70,1,1,80,67961,2,2,2019,9404641.9
64312,22,1,1,89,21240,7,10,2012,6438512.2
36558,40,0,1,24,31204,3,4,2004,3659640.4
68575,56,1,0,26,16160,5,8,2014,6864163.4
67665,100,1,1,61,78493,1,9,2004,6773957.4
24415,18,1,1,79,79354,6,6,2002,2452866.2
65222,63,1,1,98,34483,5,3,2021,6532384.1
46276,33,0,1,67,23557,9,5,2004,4632070.4
71398,36,0,1,83,7116,5,4,1992,7143594.2
64894,8,1,0,28,18098,7,1,2002,6495345.2
50556,43,1,0,34,10459,4,1,2021,5061327.1
9776,15,0,1,74,41623,1,4,2002,984138.2
96347,68,0,1,55,87676,1,6,2018,9637701.8
78357,13,1,0,98,15798,6,4,2016,7839653.6
2744,62,1,1,4,67276,9,9,1998,278798.8
90703,80,1,1,88,57686,7,3,2014,9082664.4
57415,21,1,1,43,87484,4,3,2020,5752367
85486,33,0,1,46,78442,1,7,1993,8553308.3
90981,76,1,1,89,82475,10,4,2013,9107657.3
12989,47,0,0,95,84007,10,4,2017,1306641.7
89561,54,1,1,92,87853,8,1,1993,8968239.3
28828,63,1,1,11,27902,2,8,1998,2893152.8
50956,33,0,0,25,84479,5,9,2008,5096675.8
13082,24,1,0,48,65999,2,7,2005,1316514.5
30645,87,0,1,28,65853,7,9,2011,3068569.1
87669,30,1,1,23,92149,8,3,2000,8777427
3577,50,1,1,94,57999,10,10,1993,366957.3
92943,43,1,0,9,53873,1,6,1994,9300361.4
34721,80,0,0,55,47564,1,3,2012,3474091.2
34764,16,0,1,80,39261,1,2,2020,3484320
51329,27,0,0,63,37986,9,4,1990,5137918
77198,68,0,1,76,53958,2,3,2020,7728649
59560,21,0,0,69,31501,4,10,1999,5960180.9
28561,85,0,1,11,71233,10,6,1999,2862521.9
24323,65,1,1,46,49113,2,10,1995,2439231.5
74383,58,0,0,14,20734,7,5,1992,7439935.2
93734,17,1,1,62,29088,5,4,1999,9385146.9
30342,26,0,0,91,29644,5,10,2020,3039602
69629,20,1,1,95,48419,7,8,2016,6972311.6
70494,69,1,1,98,30556,3,3,2005,7059376.5
2609,84,0,1,88,33910,4,10,2012,270146.2
95610,12,1,0,28,16949,3,9,2003,9567484.3
26046,6,0,0,52,7677,1,6,2002,2609010.2
65309,69,0,0,27,20662,4,9,1991,6532309.1
17872,82,1,0,89,40057,10,2,1992,1791761.2
46735,54,1,1,28,74206,6,10,2014,4682390.4
50560,23,0,0,49,39164,5,6,2002,5058512.2
19714,35,1,1,47,23007,7,7,2016,1983648.6
41132,53,1,1,53,72566,5,8,2004,4122535.4
47615,4,0,0,77,290,1,7,2006,4768372.6
16187,31,1,1,22,16768,4,5,2014,1626142.4
31616,59,0,1,35,28454,4,7,2008,3166791.8
6551,52,1,1,3,82888,9,4,2018,662414.8
34162,76,1,1,78,35560,6,9,2018,3426173.8
23123,64,1,1,24,78425,9,8,2004,2319772.4
65118,46,1,1,34,83042,4,1,2001,6521916.1
52287,45,1,1,33,84580,6,6,2003,5233872.3
86437,45,1,0,71,94679,8,9,2011,8651644.1
53662,94,1,1,61,21744,8,2,2013,5371947.3
27327,96,0,0,68,75406,10,9,1994,2739443.4
13160,55,1,0,76,67551,6,9,1996,1323840.6
99278,79,1,0,84,9586,3,8,2016,9937148.6
8493,12,0,1,71,6909,3,1,1990,856106
16101,66,1,1,36,5438,5,1,2013,1621185.3
1054,53,1,0,9,46200,2,7,2008,108029.8
40511,89,1,1,18,14273,7,7,1996,4060278.6
62060,100,0,0,29,90952,3,9,2010,6207859
35968,13,0,1,72,26340,5,8,2010,3602388
89136,37,0,0,84,91205,8,8,2017,8920113.7
16416,75,0,0,98,57335,4,3,2012,1650531.2
92582,13,1,0,65,62542,8,8,2002,9268566.2
91239,99,1,1,28,87820,9,6,2000,9133551
94257,85,1,0,78,9021,3,1,2011,9435819.1
6048,100,1,0,43,61339,4,7,1991,609426.1
66222,7,0,1,99,96233,8,2,2001,6627187.1
7917,39,0,1,51,877,1,8,2019,800462.9
60498,78,0,1,79,48446,5,7,1991,6058305.1
17635,17,1,1,20,12706,1,5,2004,1770551.4
56414,55,1,0,24,32319,5,1,2004,5646944.4
55984,92,0,1,51,35375,6,3,1999,5604992.9
97184,95,0,1,60,41583,2,4,2012,9725732.2
17673,92,0,0,51,30693,8,10,2013,1768662.3
87561,32,0,0,34,16616,9,7,1997,8759873.7
69323,36,0,1,51,30468,4,4,2005,6937072.5
76373,33,0,1,32,69322,10,8,1995,7641233.5
7362,14,0,0,16,13055,4,1,2000,738168
15822,15,0,1,16,90599,6,3,1995,1584936.5
74688,85,0,0,73,82728,5,7,2019,7475875.9
15713,12,0,0,68,32542,3,10,2006,1576682.6
79092,12,1,1,78,42106,3,7,1999,7920131.9
51018,88,0,1,73,52753,5,3,1999,5108683.9
19039,60,0,1,63,76684,2,7,2012,1910454.2
68660,9,1,1,50,62454,6,9,2018,6875785.8
81404,69,1,0,8,39713,7,5,2003,8145005.3
84825,30,0,0,68,91913,5,8,2015,8484171.5
77086,55,0,1,92,27478,9,5,1996,7714958.6
18834,29,0,1,34,3629,10,4,2021,1887913.1
30018,49,1,1,29,14808,10,3,2003,3008092.3
11351,80,0,0,99,5847,7,3,1992,1139512.2
80309,44,0,1,50,40668,2,9,2011,8039284.1
12983,7,1,1,19,71169,9,2,2017,1305339.7
31706,12,0,1,86,82841,7,7,2016,3178060.6
84568,45,1,1,86,35227,2,6,2021,8467953.1
77604,38,0,1,47,67056,1,3,2019,7767659.9
23118,75,1,1,81,81723,10,2,2012,2326378.2
52851,68,0,0,43,12881,4,6,2021,5287766.1
69364,24,1,1,2,44116,4,1,1992,6943393.2
53645,57,0,0,14,14088,7,2,2015,5366189.5
37819,91,0,0,93,88724,2,1,2020,3791037
61578,47,1,1,35,38455,3,7,1999,6170525.9
14443,11,1,1,13,95559,6,1,2000,1452025
42469,26,0,1,77,74056,4,7,2016,4258191.6
12148,71,1,0,63,72752,7,7,1997,1218447.7
43552,51,0,0,70,14069,7,5,2021,4357922.1
88589,2,0,0,81,59791,5,8,2001,8866678.1
35133,26,1,0,60,46784,5,6,2005,3521964.5
38502,77,1,1,11,33167,6,10,2010,3861362
77747,50,1,1,72,98938,8,10,2014,7786197.4
28459,52,0,0,4,50114,1,7,2012,2846923.2
34668,69,1,1,12,17366,8,7,2002,3475230.2
64335,4,0,0,83,65939,6,9,2020,6435779
22875,86,1,0,95,8661,5,7,1994,2295511.4
42242,62,1,1,64,24809,2,7,2019,4238504.9
99872,60,0,0,27,53068,7,6,1992,9989326.2
51963,42,1,0,7,33917,2,8,2020,5200015
49411,29,0,1,8,21931,10,3,2002,4944414.2
37852,1,0,1,77,92714,1,4,2009,3790538.9
11694,95,1,1,64,80456,8,6,2021,1185882.1
71593,92,0,0,34,82914,5,1,2005,7160694.5
14639,94,1,0,99,45011,7,8,2021,1467522.1
17723,48,1,1,82,28332,2,2,2007,1781409.7
88759,85,0,1,94,69450,2,8,2012,8882062.2
59260,39,1,1,35,94035,2,1,2018,5932371.8
25333,24,0,1,16,5799,5,2,2013,2538258.3
81572,26,0,0,86,18797,1,2,1995,8163755.5
89167,93,1,0,49,36323,3,6,2013,8923665.3
59108,38,0,0,84,54889,10,3,1992,5913599.2
76932,16,0,0,80,78108,7,9,2010,7698911
98250,45,1,0,13,51326,3,10,2002,9830956.2
55429,85,0,1,16,49044,2,4,2011,5547619.1
39750,46,0,1,41,43216,2,7,2012,3982103.2
92846,12,0,1,45,65980,2,2,2005,9289625.5
42623,92,1,0,18,18227,8,8,2019,4268615.9
26428,55,1,1,94,94645,5,4,2002,2655761.2
98547,4,0,1,51,61684,5,2,2018,9860566.8
68391,99,0,0,10,46601,7,8,2009,6840640.9
49939,91,1,1,67,61773,9,10,2010,5006544
63822,79,0,1,30,97199,4,8,2011,6388329.1
1853,49,0,0,29,55608,1,4,2020,188275
87908,29,1,0,99,3091,8,2,2006,8797517.6
50223,34,0,0,80,98357,8,9,2016,5030381.6
14598,12,0,1,2,63878,6,4,1990,1465055
27728,59,1,1,52,53450,1,9,2021,2784047.1
33947,56,1,1,83,123,4,9,2003,3403675.3
25802,89,0,0,63,1385,5,5,2013,2581922.3
71623,11,1,0,30,98669,5,4,2018,7167463.8
53629,57,1,1,9,77081,3,8,1992,5366623.2
79555,80,0,0,6,50025,2,3,1990,7956251
35060,21,0,1,82,456,1,4,2013,3513606.3
19298,73,0,0,4,55728,1,4,2016,1930595.6
35788,33,1,1,37,93085,3,3,2018,3586313.8
742,92,0,1,62,78378,8,5,1992,79288.2
4306,82,0,1,65,99578,7,8,1999,440424.9
85397,2,1,1,17,82306,9,2,1996,8544806.6
19598,44,1,1,2,4434,7,2,2015,1965660.5
79338,35,1,1,80,64607,7,3,2014,7943850.4
919,7,1,1,23,5253,3,6,1992,100175.2
57764,85,1,1,91,92959,5,4,1995,5785302.5
91266,17,0,0,21,39977,4,10,1992,9128050.2
7201,97,0,1,59,96126,8,4,2004,728462.4
64297,88,0,0,96,95406,2,5,2004,6433264.4
21054,56,0,1,46,73635,9,5,2012,2111055.2
84213,27,1,0,59,9809,10,2,1997,8429482.7
82928,1,1,0,70,53056,3,10,2007,8297655.7
17847,85,1,1,15,49213,8,4,2010,1790044
85420,77,1,0,18,70149,2,1,2013,8547192.3
58571,24,1,1,96,96365,2,7,1996,5871811.6
39066,20,0,1,27,95736,5,5,2001,3914366.1
76971,9,0,1,82,44184,2,4,1992,7704323.2
72509,45,1,1,98,66762,10,9,2015,7262915.5
78498,32,1,1,99,99615,8,7,1993,7865584.3
67360,62,1,0,77,19166,4,9,1994,6748344.4
85926,3,1,1,35,22374,4,4,2012,8601212.2
67302,75,1,0,37,27333,1,5,2013,6736275.3
2783,95,0,1,42,33962,9,5,2014,285274.4
54096,76,1,1,81,82008,7,7,2009,5421215.9
98102,41,0,0,36,12459,10,8,1990,9812451
2065,43,1,0,81,51593,1,4,2002,216333.2
2908,99,1,1,79,72906,4,1,2018,301147.8
89144,92,1,1,52,35623,2,6,2002,8920858.2
94196,62,1,1,25,25206,4,2,1996,9427245.6
17818,61,0,1,32,86721,3,5,1998,1785818.8
26050,20,0,1,48,39634,7,2,1991,2612716.1
92688,17,0,0,41,73006,5,4,1994,9271540.4
63304,18,1,0,81,14366,9,4,1997,6342245.7
84827,9,0,1,62,52069,8,3,2018,8487673.8
75762,87,0,0,10,72679,4,4,2014,7577001.4
30513,57,0,1,86,63047,7,2,1996,3062130.6
91604,28,1,1,57,52200,5,8,2018,9169471.8
68365,96,0,1,79,31033,5,7,1990,6846772
96037,58,1,0,4,16053,6,4,1993,9606569.3
63137,34,0,1,46,59502,2,4,1994,6319616.4
98951,98,1,0,46,86148,10,1,2012,9905156.2
69623,69,0,0,54,12448,3,7,2007,6966322.7
75689,19,0,0,32,21846,1,2,2006,7571270.6
16147,47,0,1,63,58471,10,1,1990,1620485
73739,27,1,1,10,57048,6,6,2009,7382091.9
93361,15,1,0,7,73932,1,4,1996,9340382.6
59300,61,0,1,81,92773,6,8,2016,5934782.6
5988,72,1,1,10,57227,10,5,2009,606466.9
15009,100,1,0,9,9262,9,7,1999,1506018.9
1863,61,1,1,81,40624,3,10,2000,197006
28700,7,1,0,18,90688,5,8,2005,2873058.5
1012,23,0,0,81,71883,3,8,1991,106809.1
28238,51,0,1,51,64670,1,1,2010,2828215
10069,71,0,0,40,59041,5,8,1990,1010749
12279,2,1,0,75,98910,3,5,2010,1237678
61924,89,0,1,21,57805,1,9,2003,6198532.3
54550,94,0,1,59,5827,9,8,1997,5460811.7
84491,83,1,1,16,27636,3,1,1996,8457523.6
4007,2,1,0,11,3545,2,4,2020,404732
55238,86,0,1,63,39533,7,8,2018,5527940.8
47794,35,0,1,78,94512,4,2,2014,4784670.4
37944,37,0,1,54,30467,3,9,1995,3799916.5
14434,8,1,0,54,18973,9,7,1993,1453434.3
12193,32,0,0,6,53461,8,2,2006,1220166.6
41757,46,0,0,31,7214,1,2,2016,4177546.6
84609,59,1,1,29,57704,6,8,2006,8469601.6
7517,20,1,0,59,4423,2,7,2004,756764.4
89974,11,1,1,43,77799,1,2,1990,9008989
56191,6,1,1,51,84313,5,8,2005,5625288.5
36799,77,0,1,56,17623,10,9,1992,3685628.2
60555,100,1,1,17,87291,10,5,2016,6065217.6
80582,24,1,0,74,65750,1,3,2011,8067342.1
28964,75,0,1,54,64637,1,6,2004,2905336.4
45467,82,0,1,29,75809,10,9,2006,4551038.6
80039,86,1,1,45,14020,4,6,1996,8009219.6
94744,36,0,1,12,32003,5,6,2010,9477533
23494,3,1,1,61,5253,7,1,2014,2361737.4
8908,7,1,0,58,35469,3,9,1997,896834.7
8416,63,1,1,99,87396,1,1,2013,850814.3
50070,66,0,1,47,51088,4,4,1995,5010998.5
18286,89,0,0,78,76283,1,9,2016,1833185.6
67798,54,0,0,87,46628,1,4,2013,6783470.3
71025,99,0,0,23,4861,4,4,2010,7104405
23088,29,0,0,55,88095,1,5,2000,2313705
96923,94,1,0,2,90110,4,3,2008,9694422.8
22587,48,1,1,29,2661,9,3,1998,2266626.8
81793,10,0,0,73,95922,2,10,2018,8184784.8
92698,19,1,0,28,75398,6,9,2006,9274536.6
61241,19,0,0,45,80077,9,3,2019,6125986.9
21068,18,1,1,85,23455,4,5,1990,2118534
84154,70,0,0,83,24336,4,3,2008,8419569.8
63437,51,1,1,78,84675,7,10,2000,6351922
34441,35,0,1,1,35192,10,6,2002,3447690.2
70634,46,0,0,7,74343,8,5,2002,7064676.2
16174,26,1,0,100,2858,9,4,2010,1632405
53330,81,0,0,8,5775,8,6,2002,5334440.2
49092,10,1,1,81,82817,8,5,2002,4923130.2
39899,65,0,0,41,19460,5,3,2006,3993466.6
44994,4,0,1,71,446,9,1,1997,4507755.7
31088,59,0,1,40,31169,2,9,2003,3116014.3
9447,28,0,1,9,4557,6,8,1995,949332.5
83936,20,0,1,25,57795,4,8,1995,8399014.5
82910,41,0,0,73,6852,10,7,1995,8295330.5
43215,68,1,0,4,58470,4,9,1998,4323726.8
21597,45,0,0,74,83103,3,6,2015,2161065.5
958,48,1,0,15,41937,7,4,2016,99445.6
11904,59,0,1,55,79610,4,2,1993,1198851.3
63693,10,1,0,94,15304,10,8,2005,6379693.5
15555,13,0,0,66,50637,4,2,2014,1558805.4
88308,31,1,0,35,43367,4,7,2014,8838121.4
72161,65,0,0,94,33126,5,7,1998,7225761.8
48684,47,0,0,87,13007,4,10,1995,4870243.5
37494,32,0,0,66,46266,9,3,2006,3752888.6
87587,80,0,0,59,88746,5,7,2011,8761570.1
19507,46,1,0,55,76887,3,6,2010,1955298
63600,7,1,1,20,84792,6,6,2018,6369418.8
73482,65,0,0,33,16095,8,5,2013,7351375.3
43020,3,0,1,75,35526,2,9,2012,4306904.2
58949,9,0,0,36,30936,7,9,1996,5897197.6
84431,72,0,0,35,91450,4,6,1996,8445624.6
26299,53,0,0,82,81489,10,10,2020,2638300
73073,66,0,1,54,67669,10,8,2003,7317758.3
73031,1,0,1,59,81815,4,10,1993,7309235.3
13283,67,1,0,95,2766,9,9,1998,1334061.8
5086,54,0,0,99,10704,6,1,2003,516329.3
15880,4,0,0,26,75365,10,2,2016,1591475.6
99093,39,1,0,34,42143,2,8,2012,9914508.2
56701,60,1,1,34,91300,6,2,2008,5673882.8
9920,82,0,1,16,77792,9,8,1997,996888.7
7228,22,1,1,86,46443,5,2,1992,737118.2
18684,79,1,0,42,12905,8,7,1990,1877347
36297,52,1,1,60,26724,7,7,2017,3637736.7
29753,69,1,1,68,40412,7,4,2017,2986236.7
16915,1,1,0,82,97706,7,8,2006,1701274.6
11593,40,1,0,57,95939,7,9,1997,1166355.7
76658,24,1,1,7,10408,7,8,2020,7674076
28436,50,0,1,90,11067,5,6,1999,2848381.9
22461,85,0,1,70,94411,6,3,2019,2255310.9
59071,87,0,0,24,19336,6,7,2012,5909009.2
78010,16,1,1,100,23653,8,8,1994,7809768.4
14079,32,1,1,81,79296,6,1,1991,1419421.1
68726,93,1,1,44,46443,10,5,2004,6881563.4
37856,97,1,0,85,81608,6,7,1998,3792661.8
2789,83,1,0,55,57316,8,2,2014,283446.4
11512,93,0,0,59,86123,7,6,2012,1152954.2
82377,82,1,0,1,38588,4,9,1997,8241773.7
99648,97,0,1,39,40035,10,8,1996,9971099.6
68269,16,0,1,41,79661,6,6,2017,6835405.7
48831,69,0,1,29,84669,3,9,2015,4889109.5
96228,54,1,0,76,46927,6,2,2017,9627177.7
36936,97,1,0,65,8495,8,2,2002,3697084.2
93217,54,0,0,95,4907,1,5,1997,9328799.7
70715,49,1,0,45,56692,3,3,2001,7076608.1
33512,28,1,0,46,96775,4,8,2007,3355634.7
61587,25,1,0,93,60436,9,8,2011,6167753.1
32910,67,1,1,15,92975,3,10,2010,3301042
64963,33,1,0,55,24858,6,3,2014,6500685.4
35519,100,1,1,28,74991,2,2,2003,3558953.3
56501,81,0,0,27,29635,5,7,2000,5651274
35005,23,1,1,2,63019,3,4,2011,3507342.1
44969,89,0,0,61,26280,8,2,1995,4502396.5
16460,93,1,0,98,68872,6,10,2009,1660482.9
9155,41,1,1,67,97714,6,1,1994,922517.4
52646,91,1,0,30,35763,9,6,2001,5272375.1
74623,98,1,0,99,49182,7,7,2019,7477062.9
24547,69,1,1,50,43892,9,2,2006,2463506.6
64492,84,1,1,31,5498,1,3,2014,6459748.4
45989,84,1,1,74,40727,5,5,2008,4611619.8
79549,44,1,1,4,85226,6,4,2014,7961296.4
82284,19,0,1,90,58419,1,4,2015,8236956.5
48240,65,1,0,94,38726,10,1,2004,4831157.4
663,59,0,0,9,31509,10,3,1990,67550
46505,63,1,0,11,79467,8,2,2013,4654841.3
47651,32,0,0,54,60052,8,7,2014,4768941.4
85811,70,1,1,91,66014,3,5,1999,8594337.9
60936,91,1,0,33,52550,6,8,2016,6098399.6
42407,33,0,0,86,97183,1,2,2021,4247458.1
84181,78,0,1,3,9896,7,1,2000,8420281
86680,94,0,1,4,25439,2,4,2001,8672197.1
4690,15,1,1,7,30572,8,2,2014,474716.4
49779,77,1,1,31,50053,10,5,2006,4986710.6
32204,3,0,1,3,24865,9,6,2001,3226023.1
6547,93,0,0,20,70033,2,7,2021,657002.1
5801,42,1,0,74,46764,5,1,2006,587160.6
49033,67,0,1,92,48676,9,10,2020,4913241
22468,61,0,0,21,56991,2,10,2013,2248298.3
73885,47,0,1,31,33591,8,7,2019,7393278.9
10252,49,0,1,22,32288,9,3,2017,1030176.7
57639,65,1,1,40,37618,1,8,2002,5769167.2
